,city,country,latitude,temperature,humidity,cloudiness,windSpeed
1141,constitucion,mx,23.99,73.4,46.0,75.0,3.36
1142,deniliquin,au,-35.53,55.9,96.0,20.0,8.08
1147,pevek,ru,69.7,41.72,100.0,0.0,7.85
1148,sorrento,it,40.63,75.94,69.0,0.0,2.24
1149,broome,au,-17.97,75.2,23.0,0.0,8.05
1152,ambon,id,-3.7,79.43,99.0,100.0,7.96
1159,varena,lt,54.21,62.6,77.0,0.0,4.7
1162,ozu,jp,33.51,80.6,69.0,75.0,4.7
1165,banswara,in,23.55,74.52,99.0,92.0,7.96
1166,nishihara,jp,35.74,81.93,78.0,20.0,9.17
1167,nara,ml,15.17,71.65,96.0,32.0,7.74
1168,mehamn,no,71.03,45.1,95.0,68.0,3.49
1173,savannah bight,hn,16.45,79.3,100.0,88.0,14.67
1183,long beach,us,30.35,82.13,94.0,20.0,4.72
1186,valparaiso,cl,-33.04,51.1,71.0,0.0,5.82
1191,sombrerete,mx,23.63,62.01,45.0,36.0,4.38
1192,nyurba,ru,63.29,64.54,62.0,80.0,3.6
1200,palotina,br,-24.28,63.19,100.0,24.0,14.23
1210,tiznit,ma,29.7,68.76,92.0,0.0,3.15
1212,hoa binh,vn,20.81,82.4,94.0,75.0,5.82
1213,oyama,jp,36.31,81.28,58.0,75.0,10.29
1214,zeya,ru,53.74,63.5,89.0,88.0,3.15
1215,vila franca do campo,pt,37.72,68.0,82.0,20.0,3.36
1216,talnakh,ru,69.49,56.7,63.0,24.0,17.25
1217,bikapur,in,26.66,83.7,95.0,8.0,11.43
1222,itapolis,br,-21.6,64.9,93.0,92.0,10.2
1224,xinye,cn,32.53,94.1,74.0,8.0,3.38
1228,chililabombwe,zm,-12.37,52.2,47.0,0.0,7.4
1229,artyk,ru,,,,,
1232,escarcega,mx,18.61,75.43,93.0,20.0,2.26
1233,zhezkazgan,kz,47.8,69.8,46.0,0.0,4.47
1235,kamenskoye,ru,,,,,
1243,safaqis,tn,,,,,
1244,manzil tamim,tn,,,,,
1248,binghamton,us,42.1,68.0,94.0,75.0,3.36
1251,xai-xai,mz,-25.04,68.45,96.0,32.0,12.33
1252,harper,lr,4.38,77.31,100.0,88.0,9.19
1256,poya,nc,-21.35,70.66,100.0,76.0,13.44
1258,port hawkesbury,ca,45.62,64.4,93.0,20.0,2.24
1264,yazman,pk,,,,,
1268,puerto gaitan,co,,,,,
1269,honningsvag,no,70.98,47.48,100.0,68.0,4.94
1275,halifax,ca,44.65,69.15,100.0,90.0,6.93
1278,carutapera,br,-1.2,78.75,84.0,48.0,8.97
1285,nova olimpia,br,-14.8,76.06,82.0,76.0,8.19
1287,batagay-alyta,ru,67.8,65.93,54.0,0.0,4.05
1289,morehead,pg,-8.71,86.5,57.0,0.0,19.6
1306,bolshoye sorokino,ru,,,,,
1307,kodinsk,ru,58.6,64.44,60.0,0.0,3.71
1308,yar-sale,ru,66.83,48.65,100.0,92.0,26.31
1319,mgachi,ru,51.05,66.6,80.0,0.0,5.17
1321,nemuro,jp,43.32,60.8,93.0,75.0,9.17
1323,tarudant,ma,,,,,
1326,hofn,is,64.25,47.75,99.0,68.0,11.54
1327,mancio lima,br,,,,,
1329,faya,td,,,,,
1333,taywarah,af,33.35,59.76,59.0,0.0,3.49
1334,olinda,br,-22.82,68.58,88.0,0.0,2.24
1335,khonuu,ru,,,,,
1336,redmond,us,47.67,88.81,27.0,1.0,4.7
1349,cockburn town,tc,21.46,82.13,100.0,0.0,15.57
1355,juba,sd,,,,,
1356,deputatskiy,ru,69.3,56.75,42.0,0.0,9.64
1357,saleilua,ws,,,,,
1363,manta,ec,-0.95,75.2,83.0,20.0,6.93
1364,yaan,cn,,,,,
1372,fort william,gb,56.82,49.28,95.0,92.0,9.19
1373,mastic beach,us,40.77,78.8,100.0,75.0,6.93
1378,bulgan,mn,48.81,64.81,81.0,88.0,4.16
1381,pangnirtung,ca,66.15,42.04,84.0,0.0,4.27
1382,meyungs,pw,,,,,
1386,vitim,ru,59.44,61.25,68.0,20.0,3.27
1387,cartagena del chaira,co,1.33,72.77,95.0,24.0,2.15
1394,roma,au,-26.57,60.21,75.0,0.0,6.96
1398,fontem,cm,5.49,61.56,97.0,88.0,0.92
1399,yatou,cn,33.81,70.47,54.0,0.0,1.92
1401,beyla,gn,8.69,67.5,93.0,24.0,6.29
1403,eyrarbakki,is,63.86,48.2,76.0,40.0,8.05
1407,ilheus,br,-14.79,71.6,94.0,40.0,3.36
1414,imbituba,br,-28.24,62.6,93.0,40.0,8.05
1424,palencia,es,42.01,59.68,66.0,0.0,9.64
1425,yasothon,th,15.8,78.8,88.0,75.0,8.05
1427,gazanjyk,tm,39.24,79.07,33.0,0.0,4.83
1431,contamana,pe,-7.35,76.32,85.0,8.0,1.81
1435,lebanon,us,43.64,72.5,88.0,40.0,2.15
1442,barawe,so,,,,,
1450,soyo,ao,-6.13,65.61,98.0,64.0,2.59
1456,butembo,cd,0.12,55.0,89.0,0.0,0.69
1458,pontes e lacerda,br,-15.23,70.66,75.0,36.0,8.41
1465,entre rios,br,-11.94,74.03,92.0,92.0,6.4
1467,mizdah,ly,31.45,71.65,67.0,0.0,3.15
1470,victor harbor,au,-35.55,62.6,48.0,0.0,20.8
1474,kinsale,ie,51.71,48.2,87.0,20.0,2.24
1480,elizabeth city,us,36.3,82.74,94.0,1.0,6.93
1482,jacksonville,us,30.33,79.5,94.0,90.0,5.39
1484,suntar,ru,62.16,58.1,78.0,92.0,7.07
1486,celestun,mx,20.87,82.71,100.0,32.0,13.67
1490,price,us,39.6,84.2,9.0,1.0,12.75
1493,elk city,us,35.41,76.44,73.0,1.0,5.82
1495,tasbuget,kz,,,,,
1498,myski,ru,53.71,68.5,71.0,0.0,2.93
